,Unnamed: 0,Date,Broke Lock,Time of Peak,Vert. Vel.,Horiz. Vel.,Ratio V/H,Time of Lost Lock (LL),LL Vert. Vel.,LL Horiz. Vel.
2,2,2019-11-04 23:38:00,Yes,1256945898,3059.8093,9030.725581044868,0.3388220882741047,1256944698,755.6238,1845.2018450621872
3,3,2019-11-05 21:56:00,No,1257026178,249.02866,755.3055904211172,0.3297058345101817,-,-,-
4,4,2019-11-06 00:35:00,No,1257035718,420.257,876.9805874380572,0.4792090110314825,-,-,-
5,5,2019-11-06 22:17:00,Yes,1257113838,169.68433,305.8811595647074,0.5547393969653899,1257112638,27.601252,110.36616003309001
6,6,2019-11-07 23:48:00,Yes,1257205698,860.1075,1670.5348603810578,0.5148695309499887,1257204498,151.12733,290.56134931982575
7,7,2019-11-08 11:11:00,Yes,1257246678,367.59976,988.4518798607758,0.3718944416917662,1257245478,96.81647,501.95646375852687
8,8,2019-11-08 15:26:00,No,1257261978,217.0487,557.3001585509285,0.3894646299121143,-,-,-
9,9,2019-11-09 08:42:00,No,1257324138,419.9845,972.5242142460112,0.4318499157633931,-,-,-
10,10,2019-11-09 19:25:00,No,1257362718,190.57404,385.37499475592654,0.4945158419546608,-,-,-
11,11,2019-11-12 00:13:00,Yes,1257552798,798.8051,1790.6036726546638,0.4461093832203134,1257551598,544.7845,2135.2925006510045
12,12,2019-11-12 21:49:00,Yes,1257630558,139.41447,539.2810841987849,0.2585191175528238,1257629358,59.621956,896.6688300442868
13,13,2019-11-13 16:44:00,Yes,1257698658,659.2133,1371.249745555054,0.480739050006652,1257697458,21.79839,78.88452854803766
14,14,2019-11-14 17:30:00,Yes,1257787818,5238.8706,10427.45989777956,0.5024110043439797,1257786618,1573.4816,3891.9621596318343
15,15,2019-11-14 22:35:00,Yes,1257806118,340.66528,696.3546662561346,0.4892123173835325,1257804918,86.859024,237.62970598338185
16,16,2019-11-16 11:34:00,No,1257939258,152.07869,404.1640124182232,0.3762796422424447,-,-,-
17,17,2019-11-16 13:54:00,No,1257947658,180.88101,442.7440591427545,0.408545312500011,-,-,-
18,18,2019-11-18 14:51:00,No,1258123878,203.03275,451.307894583898,0.449876353674678,-,-,-
19,19,2019-11-19 23:53:00,Yes,1258242798,122.96613,381.70286063219385,0.3221514499428635,1258241598,88.32576,221.6161836072957
20,20,2019-11-20 09:17:00,No,1258276638,609.9028,1228.1855263580742,0.4965884932779972,-,-,-
21,21,2019-11-20 11:51:00,No,1258285878,265.3753,726.8347288389311,0.3651109247681641,-,-,-
22,0,2019-11-20 22:28:42,No,1258324140,363.45767,782.1968850995653,0.4646626404728468,-,-,-
23,1,2019-11-21 01:15:42,Yes,1258334160,1233.7056,2504.680007463009,0.4925601658990446,1258333560,661.86395,2082.1119613660067
24,2,2019-11-23 13:22:42,No,1258550580,304.3238,647.7439416699473,0.4698211444717236,-,-,-
25,3,2019-11-24 01:36:42,Yes,1258594620,4095.7583,10047.563390747537,0.407636970349612,1258594260,1669.5474,5292.590706236533
26,4,2019-11-26 03:45:42,Yes,1258775160,6714.607,13515.17031587797,0.4968200061904885,1258773960,468.3019,2034.0370190515707
27,5,2019-11-26 07:01:42,No,1258786920,245.2458,524.8623578442784,0.4672573605912162,-,-,-
28,6,2019-11-27 07:49:42,No,1258876200,363.92087,836.7908628932321,0.4349006258764962,-,-,-
29,7,2019-11-27 15:39:42,No,1258904400,124.77366,367.7653943230876,0.339275151838741,-,-,-
